dataset,epoch,loss,F1,recall,precision,accuracy,confusion_matrix,roc_auc,pr_auc,0vr_roc_auc,0vr_pr_auc,1vr_roc_auc,1vr_pr_auc,2vr_roc_auc,2vr_pr_auc,time
train,1,1.094566481454032,0.2613845148753043,0.27948758006561475,0.3841589650772004,0.27948758006561475,"[[ 520  777 2086]
 [ 274  390  931]
 [ 230  314  879]]",0.5375381736663771,0.3605819270838595,0.5383494187109092,0.5618937349060067,0.5624999836933197,0.27503895894323094,0.5117651185949026,0.24481308740234084,0 days 00:00:01.573904
val,1,1.102418851852417,0.46408511918215417,0.5186696592532136,0.47982512217987994,0.5186696592532136,"[[1912  600   25]
 [ 636  600   35]
 [ 663  400   30]]",0.6548080974774286,0.48323302227691634,0.6858376734982162,0.6921029217250909,0.6664375678680807,0.4396716419698567,0.612149051065989,0.31792450313580134,0 days 00:00:00.821905
train,2,1.0905908516475133,0.45658336474159866,0.5194500859240744,0.44693685178209636,0.5194500859240744,"[[2614  729   40]
 [ 890  700    5]
 [ 912  500   11]]",0.586511301320269,0.4057969103967423,0.6065255917446353,0.5985066283960176,0.6033071252366099,0.3394539785073847,0.5497011869795618,0.2794301242868246,0 days 00:00:01.650117
val,2,1.0817372798919678,0.4557305125434864,0.5207100591715976,0.4051773754863628,0.5207100591715976,"[[1930  607    0]
 [ 649  622    0]
 [ 669  424    0]]",0.6510496488913797,0.4766445545458374,0.6926466302112826,0.6970558248700413,0.6801934660242364,0.41987340185041006,0.5803088504386201,0.3130044369170607,0 days 00:00:00.825406
train,3,1.0592475959232874,0.4773085793690274,0.5310107795656929,0.4766443886037268,0.5310107795656929,"[[2474  876   33]
 [ 664  912   19]
 [ 690  720   13]]",0.6349433155853553,0.44582926035409853,0.6864124642234287,0.6922088158278501,0.6494182428703932,0.37144961248824926,0.568999239662244,0.27382935274619624,0 days 00:00:01.642135
val,3,1.0700886487960815,0.4796750419390691,0.5286676188532953,0.5247760506838711,0.5286676188532953,"[[1908  616   13]
 [ 600  631   40]
 [ 609  432   52]]",0.6706418031243683,0.4898106518110774,0.7165710596538405,0.7212917894790258,0.6909507058280393,0.4395179003829426,0.6044036438912253,0.3086222655712639,0 days 00:00:00.879769
train,4,1.0311868020466395,0.5272953869256569,0.5408529917200438,0.531405649160394,0.5408529917200438,"[[2359  729  295]
 [ 555  853  187]
 [ 564  609  250]]",0.6770282447602288,0.4927559045960351,0.7222500547018411,0.7225586960996926,0.6835926095515401,0.4172983638967658,0.625242070027305,0.3384106537916469,0 days 00:00:01.632899
val,4,1.0316291093826293,0.46948868285968376,0.4786778208528872,0.5273164582518983,0.4786778208528872,"[[1293  899  345]
 [ 211  950  110]
 [ 200  790  103]]",0.6941774492337451,0.5098036136779117,0.7434420658851368,0.7573865103317416,0.7084174843348006,0.46047090719684836,0.630672797481298,0.3115534235051451,0 days 00:00:00.831017
train,5,0.9839722854750497,0.5211970412910838,0.5410092173097953,0.538011192903806,0.5410092173097953,"[[2249  843  291]
 [ 375 1091  129]
 [ 414  886  123]]",0.721175131916595,0.5250450402640017,0.7811898438906417,0.7897545050860302,0.7230457095819358,0.44590910315362386,0.6592898422772073,0.33947151255235114,0 days 00:00:01.648204
val,5,0.9613944292068481,0.5432911380209704,0.5731483370740665,0.5590391702509419,0.5731483370740665,"[[1759  587  191]
 [ 215  982   74]
 [ 284  741   68]]",0.7485054578328821,0.5478393245865608,0.813621431577459,0.8136768774154904,0.7679668077672512,0.49994010819435264,0.663928134153936,0.32990098814983915,0 days 00:00:00.861693
