,ID,monomers,class_distribution,mol_distribution,KLdiv,Tma_wt,Aeg_wt,Mo_wt,Mep_wt,Ni_wt,Phe_wt,Do_wt,Bam_wt,Oct_wt,Olam_wt,Bmam_wt,Tmb_wt,SMILES,pred_MPNN_40,pred_MPNN_85,pred_MPNN_16
16,2515698,['Tma' 'Aeg' 'Phe'],"[85, 0, 15]",[0.60449296 0.19957234 0.1959347 ],0.5062019282511004,65,20,0,0,0,15,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.610748827457428,0.8892530798912048,0.0013602251419797
17,2626698,['Tma' 'Ni' 'Phe'],"[55, 0, 45]",[0.42715473 0.35467542 0.21816985],0.23569962227553312,55,0,0,0,25,20,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.4956517219543457,0.0819000527262687,0.0003972968261223
18,2637497,['Tma' 'Ni' 'Phe'],"[55, 0, 45]",[0.4571289  0.07591272 0.46695838],0.5197296006348275,55,0,0,0,5,40,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.3968856632709503,0.9639607071876526,0.0391220785677433
19,2836346,['Tma' 'Aeg' 'Do' 'Olam'],"[80, 0, 20]",[0.6145767  0.21980993 0.13266411 0.03294926],0.3240085153392735,60,20,0,0,0,0,15,0,0,5,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999637603759766,0.997733235359192,0.4826985001564026
20,2864486,['Tma' 'Bam' 'Oct'],"[55, 0, 45]",[0.43771601 0.51740712 0.04487686],0.36262570938478306,55,0,0,0,0,0,0,40,5,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCOCNC(=O)C=C', 'CCCCCCCCNC(=O)C=C']",0.937991201877594,0.9952847361564636,0.3419052958488464
21,2925775,['Tma' 'Aeg' 'Mep' 'Phe' 'Tmb'],"[50, 5, 45]",[0.2609515  0.18666419 0.06278959 0.24434909 0.24524562],0.30848999770610286,30,20,0,5,0,20,0,0,0,0,0,25,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'C=CC(=O)Nc1ccccc1', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.9957507848739624,0.9993810653686525,0.4951426684856415
22,3139233,['Tma' 'Aeg' 'Oct' 'Olam' 'Tmb'],"[55, 0, 45]",[0.35019878 0.2147183  0.05642081 0.09655808 0.28210404],0.3210213622608973,35,20,0,0,0,0,0,0,5,15,0,25,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.9999984502792358,0.4570293724536896,0.982658326625824
23,3552809,['Tma' 'Aeg' 'Mo' 'Bmam'],"[30, 60, 10]",[0.07549217 0.16200349 0.6632423  0.09926204],0.3174113689262261,10,20,60,0,0,0,0,0,0,0,10,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)NCCCC']",0.6009385585784912,0.1961021572351455,0.9451534152030944
24,3846032,['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Phe' 'Olam'],"[40, 15, 45]","[0.15703892 0.16849995 0.11497314 0.05667956 0.28686387 0.16542867
 0.0505159 ]",0.35524030356303055,20,20,10,5,20,15,0,0,0,10,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)NCCCOC', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999874830245972,0.9992051720619202,0.4482149481773376
25,3857692,['Tma' 'Aeg' 'Mo' 'Ni' 'Olam'],"[50, 5, 45]",[0.26930237 0.19263775 0.06572158 0.32795742 0.14438088],0.4135497200469968,30,20,5,0,20,0,0,0,0,25,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999980926513672,0.9988694787025452,0.378472089767456
