ID,monomers,class_distribution,mol_distribution,KLdiv,Tma_wt,Aeg_wt,Mo_wt,Mep_wt,Ni_wt,Phe_wt,Do_wt,Bam_wt,Oct_wt,Olam_wt,Bmam_wt,Tmb_wt,SMILES,prob_class0_model_20,prob_class1_model_20,prob_class2_model_20,prob_class0_model_29,prob_class1_model_29,prob_class2_model_29,prob_class0_model_41,prob_class1_model_41,prob_class2_model_41,prob_class0_model_44,prob_class1_model_44,prob_class2_model_44,prob_class0_model_82,prob_class1_model_82,prob_class2_model_82,mean_class0,mean_class1,mean_class2
500158,"['Tma', 'Mo', 'Mep', 'Ni']","[60, 15, 25]","[0.4704819458437339, 0.11481821329526841, 0.05660318190701577, 0.35809665895398196]",0.31908403138496133,60,0,10,5,25,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C']",0.0032166298,0.2795081,0.7172752,1.4789025e-06,0.13906024,0.8609384,0.007233965,0.9505333,0.04223283,0.00011978672,0.038137536,0.96174264,0.001967345,0.010443993,0.9875886,0.0025078412,0.28353664,0.7139555
500169,"['Tma', 'Mo', 'Ni', 'Phe']","[60, 15, 25]","[0.5034030258960904, 0.18427859935358232, 0.07663075842684462, 0.23568761632348273]",0.2882049180330135,60,0,15,0,5,20,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0005660041,0.21777497,0.78165907,1.399965e-06,0.105474964,0.8945237,0.002936202,0.9366712,0.060392637,0.0027435336,0.15095787,0.8462986,1.4255761e-07,0.0042351163,0.99576473,0.0012494564,0.28302282,0.7157277
500173,"['Tma', 'Mo', 'Ni', 'Phe']","[60, 15, 25]","[0.4946434569635341, 0.18107202130221037, 0.15059465799006147, 0.17368986374419404]",0.3064149044323786,60,0,15,0,10,15,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.00071235717,0.22311834,0.7761693,1.1339688e-06,0.10407383,0.89592505,0.0025910249,0.91705143,0.080357485,8.422477e-05,0.035232175,0.9646836,1.2205881e-07,0.0030267064,0.99697316,0.00067777256,0.2565005,0.7428217
500175,"['Tma', 'Mo', 'Ni', 'Phe', 'Olam']","[60, 15, 25]","[0.5016549019783522, 0.18363867108441095, 0.22909394836502556, 0.058717291107758134, 0.026895187464453046]",0.476765410382483,60,0,15,0,15,5,0,0,0,5,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.004013351,0.2905373,0.7054494,6.233573e-35,2.1583204e-20,1.0,6.7905705e-05,0.05726256,0.9426696,0.89054507,0.04850966,0.060945295,4.0326704e-29,1.27163416e-23,1.0,0.17892526,0.07926191,0.7418128
500178,"['Tma', 'Mo', 'Ni', 'Phe']","[60, 15, 25]","[0.47800809851756004, 0.17498238656330106, 0.2910600154488183, 0.05594949947032052]",0.2957592384941619,60,0,15,0,20,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0016600046,0.26071745,0.7376226,1.6092886e-06,0.13398388,0.8660144,0.0030135852,0.9103347,0.086651705,0.00010896785,0.037201468,0.9626895,8.769804e-07,0.0018780986,0.9981211,0.0009570088,0.26882315,0.73021984
500179,"['Tma', 'Mo', 'Ni']","[60, 15, 25]","[0.470103078142418, 0.1720886294588426, 0.35780829239873935]",0.2780218262834092,60,0,15,0,25,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C']",0.0030304596,0.28712454,0.70984495,1.6460189e-06,0.14764385,0.8523545,0.009139896,0.9449636,0.045896538,0.03297549,0.36520082,0.6018236,0.0004879387,0.00293453,0.99657756,0.009127086,0.34957343,0.6412994
500191,"['Tma', 'Mep', 'Ni', 'Phe']","[60, 20, 20]","[0.495103176217567, 0.2382613436605049, 0.15073461994216636, 0.11590086017976181]",0.26266243372994963,60,0,0,20,10,10,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.00064635056,0.2180868,0.7812669,1.3937585e-06,0.14140737,0.8585912,0.0018747926,0.8579438,0.14018144,7.66605e-05,0.03247625,0.9674471,3.658307e-07,0.0035835314,0.9964161,0.00051991263,0.25069958,0.74878055
500193,"['Tma', 'Mep', 'Ni', 'Phe']","[60, 20, 20]","[0.48662764104658573, 0.2341826132158582, 0.22223135312994818, 0.05695839260760784]",0.29826411007380804,60,0,0,20,15,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0013766474,0.25360316,0.7450203,1.4146317e-06,0.14344688,0.85655165,0.0029432708,0.92702013,0.07003662,0.00022880416,0.05390308,0.9458682,1.6108331e-06,0.0023364788,0.9976618,0.00091034954,0.27606195,0.7230277
500194,"['Tma', 'Mep', 'Ni']","[60, 20, 20]","[0.4784374026715571, 0.2302411777860911, 0.29132141954235174]",0.32660669300268996,60,0,0,20,20,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C']",0.002133411,0.2658191,0.73204744,1.5498417e-06,0.15123442,0.848764,0.005665425,0.9546836,0.03965104,9.394095e-05,0.033994522,0.9659115,0.00012991847,0.004240619,0.99562943,0.0016048491,0.28199446,0.71640074
500208,"['Tma', 'Mo', 'Mep', 'Ni', 'Phe']","[60, 20, 20]","[0.48622233488708755, 0.05932977901614477, 0.17549067405452903, 0.22204625937723108, 0.056910952665007515]",0.31641330757537073,60,0,5,15,15,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.001293904,0.24344108,0.75526506,1.498278e-06,0.13601059,0.8639878,0.0048494097,0.94961596,0.04553463,0.00017994402,0.04730903,0.95251095,1.7209546e-05,0.0073685725,0.99261427,0.0012683931,0.27674904,0.7219826
