ID,pred
3585_1,0.9991897940635681
3748_1,0.9932425618171692
216_1,0.09243986010551453
1143_1,0.9991783499717712
2663_1,0.14708417654037476
4015_1,0.9863809943199158
1644_1,0.08367683738470078
1766_1,0.08815527707338333
30_1,0.05529769882559776
994_1,0.9985008239746094
3719_1,0.9916115403175354
4031_1,0.9753867387771606
3586_1,0.9977068901062012
1990_1,0.10447792708873749
1652_1,0.06484776735305786
4392_1,0.9984716773033142
708_1,0.42188841104507446
3214_1,0.9988178610801697
2207_1,0.8875388503074646
593_1,0.02184591256082058
1001_1,0.999519944190979
3378_1,0.9887985587120056
3309_1,0.9990735054016113
3583_1,0.9996638298034668
2469_1,0.09479376673698425
4503_1,0.9999997615814209
793_1,0.4590635597705841
1947_1,0.09027215093374252
3038_1,0.9951796531677246
1863_1,0.6708706021308899
2158_1,0.13828419148921967
2269_1,0.05148946866393089
1417_1,0.020822010934352875
1404_1,0.012984830886125565
325_1,0.08080779761075974
2557_1,0.06247047334909439
4534_1,1.0
1924_1,0.8313426971435547
402_1,0.9962980151176453
983_1,0.999859094619751
905_1,0.9993399977684021
1974_1,0.11265905946493149
1088_1,0.9975639581680298
3648_1,0.9947755336761475
1156_1,0.9999723434448242
1910_1,0.048825670033693314
394_1,0.016787907108664513
1025_1,0.9995765089988708
65_1,0.07467328757047653
3090_1,0.9869441986083984
3476_1,0.9995757937431335
1898_1,0.0698409155011177
1715_1,0.04566461592912674
2366_1,0.9826216697692871
4579_1,0.9999995231628418
1695_1,0.13116686046123505
4375_1,0.9937731623649597
3499_1,0.9994558691978455
3570_1,0.9992485642433167
1093_1,0.9905704259872437
1556_1,0.008765737526118755
2730_1,0.09300030767917633
3269_1,0.9996941089630127
1220_1,0.015105594880878925
941_1,0.9999443292617798
2578_1,0.5883823037147522
3261_1,0.9999397993087769
143_1,0.33489570021629333
2886_1,0.9950805902481079
886_1,0.9997641444206238
3701_1,0.28648072481155396
4539_1,0.9999966621398926
3657_1,0.9888817667961121
1531_1,0.010377373546361923
2538_1,0.08598987013101578
1867_1,0.10030987858772278
3972_1,0.9451528787612915
127_1,0.05063444375991821
2910_1,0.07628297060728073
1500_1,0.0222846120595932
1922_1,0.5617159008979797
1915_1,0.09263642132282257
1234_1,0.012898840941488743
381_1,0.03740345314145088
1116_1,0.9862852096557617
3599_1,0.9992606043815613
2473_1,0.14512793719768524
1035_1,0.9998310804367065
392_1,0.04608571529388428
416_1,0.9881486296653748
2363_1,0.8281617164611816
333_1,0.7010552287101746
4452_1,0.9999637603759766
641_1,0.9858826398849487
2148_1,0.8939913511276245
1896_1,0.6863194704055786
1478_1,0.019600849598646164
600_1,0.44321978092193604
2215_1,0.7112538814544678
3048_1,0.9936733245849609
2173_1,0.9743875861167908
4230_1,0.988943338394165
619_1,0.5440719723701477
4581_1,1.0
2436_1,0.03987551108002663
1107_1,0.9952978491783142
4521_1,0.9999947547912598
1988_1,0.08158772438764572
2091_1,0.6066513657569885
3905_1,0.9850526452064514
4188_1,0.2520431578159332
2192_1,0.2520299553871155
2865_1,0.994114339351654
4567_1,0.9999998807907104
4036_1,0.939028799533844
1135_1,0.9991447925567627
3054_1,0.7293863296508789
3252_1,0.9966185092926025
4103_1,0.21877466142177582
2449_1,0.21929749846458435
3665_1,0.8711486458778381
3275_1,0.9998877048492432
1355_1,0.008587210439145565
4283_1,0.9770950078964233
2102_1,0.4014510214328766
4063_1,0.04732058197259903
678_1,0.4503381848335266
1265_1,0.011984987184405327
1870_1,0.07082847505807877
1735_1,0.1071879044175148
3179_1,0.985056459903717
2297_1,0.39468637108802795
2109_1,0.7394686937332153
53_1,0.21769973635673523
306_1,0.05957262963056564
4313_1,0.9958223104476929
74_1,0.0470673106610775
976_1,0.999496340751648
120_1,0.08036087453365326
2946_1,0.9244133830070496
2690_1,0.05947989970445633
4538_1,0.9991616010665894
4187_1,0.919943630695343
2065_1,0.9972192049026489
3778_1,0.9317300915718079
3977_1,0.8622618913650513
2783_1,0.680794358253479
3196_1,0.9986246824264526
4240_1,0.9932647943496704
4552_1,0.9999992847442627
622_1,0.9975820779800415
928_1,0.9947210550308228
457_1,0.9245330095291138
1009_1,0.9954298734664917
1923_1,0.10664229094982147
630_1,0.995634138584137
1305_1,0.012776005081832409
3162_1,0.9950205087661743
2423_1,0.3328123390674591
2378_1,0.9843649864196777
68_1,0.10524499416351318
2782_1,0.2721332907676697
3680_1,0.9916188716888428
608_1,0.14162279665470123
1018_1,0.9958618879318237
2231_1,0.668706476688385
4545_1,1.0
3747_1,0.9870581030845642
3362_1,0.9984473586082458
4544_1,0.9930955767631531
625_1,0.9488984942436218
2747_1,0.4727422595024109
3762_1,0.9787472486495972
320_1,0.14007657766342163
3434_1,0.9987516403198242
2147_1,0.3172447681427002
1451_1,0.01751081272959709
