dataset,epoch,loss,F1,recall,precision,accuracy,confusion_matrix,roc_auc,pr_auc,0vr_roc_auc,0vr_pr_auc,1vr_roc_auc,1vr_pr_auc,2vr_roc_auc,2vr_pr_auc,time
train,1,1.097003596169608,0.28107808720159155,0.3141696609904702,0.32493984018190636,0.3141696609904702,"[[1073    0 2310]
 [ 490    0 1105]
 [ 484    1  938]]",0.5354081275172907,0.3773969714882339,0.5467324146558231,0.574890254464238,0.5440310374831878,0.29852455502922765,0.5154609304128609,0.25877610497123593,0 days 00:00:01.539590
val,1,1.1008393526077271,0.49826988127131044,0.5302999387880024,0.4883687742920407,0.5302999387880024,"[[1884  417  236]
 [ 588  600   83]
 [ 589  389  115]]",0.6649731426632567,0.484940227997307,0.7065385759457158,0.7057711423298264,0.672288040262434,0.41664682388734753,0.6160928117816202,0.33240271777474734,0 days 00:00:00.877884
train,2,1.0810329403196062,0.47014474634231596,0.522730823308858,0.4762884767341369,0.522730823308858,"[[2583  712   88]
 [ 853  712   30]
 [ 868  504   51]]",0.591752320424039,0.40854510698569885,0.6156433161793844,0.6127829477105329,0.6063564744696088,0.3367756667759584,0.553257170623124,0.2760767064706052,0 days 00:00:01.652809
val,2,1.074212670326233,0.4583419194148648,0.52295449908182,0.40800046845907034,0.52295449908182,"[[1930  607    0]
 [ 638  633    0]
 [ 650  443    0]]",0.6541428809957248,0.47868490336189623,0.6979762126283958,0.6917661904632222,0.6735359459699636,0.4245958937454962,0.590916484388815,0.31969262587697034,0 days 00:00:00.832599
train,3,1.0437565701348441,0.4847790608494743,0.5653804093110452,0.42866359531967074,0.5653804093110452,"[[2955  428    0]
 [ 931  664    0]
 [ 948  475    0]]",0.6293698337899837,0.44026286052202707,0.6652866817226506,0.6461918779728801,0.6393352353445341,0.3917012857690106,0.5834875843027664,0.2828954178241905,0 days 00:00:01.632257
val,3,1.0322808980941773,0.4944479322010905,0.5664150173433993,0.43875795583999144,0.5664150173433993,"[[2095  442    0]
 [ 590  681    0]
 [ 621  472    0]]",0.6682740206740913,0.4633853129969627,0.7194632801708988,0.6905505509403788,0.676978821907654,0.4370282775852627,0.6083799599437213,0.2625771104652465,0 days 00:00:00.919441
train,4,0.9893983517374311,0.5472496724877436,0.5774097797219184,0.5407975136779846,0.5774097797219184,"[[2829  420  134]
 [ 697  598  300]
 [ 660  494  269]]",0.6904092671405963,0.486687148192497,0.7422013392107695,0.7119314617479577,0.6739300534728664,0.4009764861462233,0.6550964087381528,0.3471534966833098,0 days 00:00:01.630427
val,4,1.0231224298477173,0.5022887471269486,0.5643746174250153,0.49679589067689334,0.5643746174250153,"[[2264  102  171]
 [ 598   84  589]
 [ 578   97  418]]",0.7010671944783375,0.5054993056761873,0.7587817058798814,0.7341788669957896,0.6970651728644719,0.43632061058171157,0.6473547046906594,0.34599843945106074,0 days 00:00:00.821318
train,5,0.9653402056012835,0.5673365107669736,0.6059990626464615,0.5638317397476481,0.6059990626464615,"[[3063  292   28]
 [ 751  460  384]
 [ 670  397  356]]",0.7265767378795335,0.5212818650926568,0.7875316825032661,0.7563055720628082,0.7085248716011985,0.4303860634990424,0.6836736595341357,0.37715395971612,0 days 00:00:01.613871
val,5,0.9922766923904419,0.5335995793398697,0.607018975719241,0.4765202356474407,0.607018975719241,"[[2186  351    0]
 [ 482  789    0]
 [ 473  620    0]]",0.7244672376785388,0.5124688686877122,0.7902495686513042,0.7854116549812376,0.734504836650606,0.46288054557227154,0.6486473077337064,0.28911440550962764,0 days 00:00:00.842524
