dataset,epoch,loss,F1,recall,precision,accuracy,confusion_matrix,roc_auc,pr_auc,0vr_roc_auc,0vr_pr_auc,1vr_roc_auc,1vr_pr_auc,2vr_roc_auc,2vr_pr_auc,time
train,1,1.0975959982190813,0.3233330202503143,0.32635525699109513,0.3857426727543755,0.32635525699109513,"[[1129  509 1745]
 [ 498  153  944]
 [ 437  179  807]]",0.5357785246021417,0.36105837620985365,0.5569763505869895,0.5670302188457199,0.5104045752631572,0.26014841828997715,0.5399546479562782,0.25599649149386405,0 days 00:00:01.528440
val,1,1.0892825841903686,0.4348885043334171,0.49663334013466637,0.3911154362630712,0.49663334013466637,"[[1880    0  657]
 [ 558    0  713]
 [ 539    0  554]]",0.6794362147756675,0.4975059733596943,0.7279496114026787,0.7498269843700675,0.6886008717458543,0.41990046725174146,0.6217581611784696,0.3227904684572743,0 days 00:00:00.831085
train,2,1.0747254235403878,0.490290957917877,0.5330417122324637,0.4806007646698557,0.5330417122324637,"[[2774  352  257]
 [ 902  443  250]
 [ 909  319  195]]",0.6025533114276382,0.42288932334379026,0.6315967629046884,0.6261674982343943,0.6191634803413183,0.3560384127648958,0.5568996910369082,0.28646205903208066,0 days 00:00:01.563875
val,2,1.084700107574463,0.45946818138529827,0.5233625790654969,0.40966557712846263,0.5233625790654969,"[[1921  616    0]
 [ 627  644    0]
 [ 634  459    0]]",0.6305352679233381,0.4847705703703255,0.719868617890083,0.7337788071119775,0.6860578100582393,0.4522850653215017,0.48567937582169185,0.26824783867749746,0 days 00:00:00.880213
train,3,1.0406302894864763,0.4928403580278469,0.5722543352601156,0.43573822098612786,0.5722543352601156,"[[2953  430    0]
 [ 885  710    0]
 [ 909  514    0]]",0.6458076693287619,0.46893745624087274,0.7016165887716367,0.6985438279553912,0.6662372791586275,0.39651262229532613,0.5695691400560216,0.31175591847190093,0 days 00:00:01.561479
val,3,1.0347598195075989,0.4295197631893496,0.47174046113038154,0.47771353582371745,0.47174046113038154,"[[1231 1306    0]
 [ 190 1081    0]
 [ 204  889    0]]",0.709556236454936,0.5345577969801156,0.7682027649001212,0.7755829003057669,0.7300621189363052,0.5055480870274831,0.6304038255283815,0.322542403607097,0 days 00:00:00.942629
train,4,0.9924662028040204,0.5451115935138846,0.5642868301827839,0.5360735439429554,0.5642868301827839,"[[2746  543   94]
 [ 647  450  498]
 [ 578  429  416]]",0.7105414780149815,0.5158577802921801,0.7667831810986481,0.7426633848940369,0.6911390151025951,0.4201086545261212,0.6737022378437013,0.38480130145638203,0 days 00:00:01.543113
val,4,1.0256495952606202,0.49544508634593487,0.5470312181187513,0.48133787995382893,0.5470312181187513,"[[1697  840    0]
 [ 287  984    0]
 [ 306  787    0]]",0.7230855536698245,0.5239195087443477,0.7882821550694393,0.7948125351630231,0.7286557730946545,0.43500459420699944,0.6523187328453797,0.34194139686302044,0 days 00:00:00.820750
train,5,0.9438828570502145,0.5603712661220488,0.6016247461334167,0.5844085854938698,0.6016247461334167,"[[2876  505    2]
 [ 610  832  153]
 [ 532  748  143]]",0.7448208803874709,0.5412758770278355,0.8086906191190624,0.7896266243587431,0.7231803375352387,0.4378643768933047,0.7025916845081113,0.39633662983145873,0 days 00:00:01.586505
val,5,1.0696966171264648,0.5198437584940746,0.4996939400122424,0.5578515528123027,0.4996939400122424,"[[1535  806  196]
 [ 168  533  570]
 [ 249  463  381]]",0.7204847971768226,0.5081370355714728,0.7981358133132181,0.7958820336504726,0.7094656601058147,0.38555128924984783,0.6538529181114349,0.34297778381409794,0 days 00:00:00.825452
