,poly_ID,monomers,mon_SMILES,mon_mol_distribution,DP,MIC_ecoli,MIC_saureus,HC50,Mw,MIC_ecoli_uM
0,1,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,900.8108108108108,>512,>2000,11.1,>46.2
1,2,"['Tma', 'Ni', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[0.4549454859354751, 0.43169677376239013, 0.11335774030213468]",70,840.2521008403361,>512,>2000,11.9,>43.1
2,3,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[0.5044570496588803, 0.368058869011033, 0.12748408133008668]",70,24.854368932038835,>512,>2000,10.3,24.8
3,4,"['Tma', 'Phe', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'COCCCNC(=O)C=C']","[0.5053614730538734, 0.3687187488800791, 0.1259197780660476]",70,24.38095238095238,>512,>2000,10.5,24.4
4,5,"['Tma', 'Do', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.5878058277488345, 0.2636465684428655, 0.14854760380830015]",70,12.427184466019417,32-64,>2000,10.3,12.4
5,6,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.5890341712713527, 0.2641975132264877, 0.1467683155021596]",70,10.578512396694215,32,>2000,12.1,10.6
6,7,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.7335234220883662, 0.21063007227554228, 0.05584650563609155]",70,729.8540145985402,32,>2000,13.7,>37.4
7,8,"['Tma', 'Ni', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[0.7340989472357222, 0.2107953333970466, 0.055105719367231194]",70,729.8540145985402,64-128,>2000,13.7,>37.4
8,9,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[0.771054659625125, 0.17024140932398385, 0.05870393105089118]",70,793.5714285714286,32,>2000,12.6,>40.5
9,10,"['Tma', 'Phe', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'COCCCNC(=O)C=C']","[0.77169061127758, 0.17038182129637044, 0.057927567426049716]",70,869.4782608695652,32,>2000,11.5,>44.5
